Name;ActorType;VAs;Krappen;Brenn;Treib;Ökol 0-1;Okonom 0-1
AEE;3;0;0;1;1;0,875;0,3333
AKADEMIE;2;0;0;1;0,5;0,8917;0,4167
ASTAG;3;1;1;1;0;0,1667;0,8917
AUTO;3;1;1;1;0;0,0833;0,9583
AVES;4;1;1;1;0;0;0,775
BRAT;1;0;0,5;1;0,5;0,6667;0,5
CEM;3;1;1;1;0,5;0,5;0,9167
COOP;3;0;1;1;0;0,8333;0,4167
CVP;15;0;1;1;0;0,8333;0,4583
ECON;3;1;1;1;0,5;0,1667;0,8917
EFORUM;3;1;1;1;0,5;0,1667;0,85
EV;3;1;1;1;0;0,1667;0,875
FDP;15;1;1;0;0;0,375;0,95
GLP;15;0;0;1;1;0,85;0,375
GPS;15;0;0;1;1;0,975;0,3583
HEV;3;1;1;0;0;0,2083;0,6
OcCC;2;0;0;1;0,5;0,8333;0,4583
OEBU;5;0;1;1;0,5;0,6417;0,525
SCIENCE;2;1;1;1;0,5;0,0833;0,8667
SES;3;0;0;1;1;0,9417;0,3583
SGB;5;0;0;1;1;0,7917;0,2917
SGV;3;1;1;1;0;0,0833;0,8917
SMEM;3;1;1;1;0,5;0,625;0,85
SPS;15;0;0;1;1;0,9417;0,3583
SVP;15;1;1;0;0;0,0833;0,9167
TCS;5;1;1;1;0;0,1667;0,8917
TRAV;5;0;0;1;0,5;0,8333;0,25
UVEK;1;0;0,5;1;0,5;0,75;0,3583
VCS;5;0;0;1;1;0,9417;0,3583
WWF;5;0;0;1;1;0,9417;0,3583
