Name;Acronym;Effectiveness;Efficiency;Justice;Transformation potential;Competitiveness;Leadership;Carbon Pricing;Subsidies;Regulatory Measures;Technological Innovation;VoluntaryMeasures;Behavioural Change;Carbon-Capture and Storage;Natural Negative Emissions;Combination of policies;Competencies at the Cantonal Level;Competencies at the Federal Level;Net Zero by 2050;Federal funding of replacement of fossile heatings ;Focus on domestic CO2 reductions;Extension of CO2 tax on fuels;Redistribution of CO2 tax;CO2 tax higher than 120 CHF;Repayment of CO2 tax
Aerosuisse - Dachverband der Schweizerischen Luft- und Raumfahrt;CH1;5;5;5;5;5;5;5;2;2;5;4;4;5;5;5;4;5;4;2;4;4;4;4;4
Agentur für erneuerbare Energien und Energieeffizienz;CH2;5;4;4;4;4;4;5;4;4;5;4;4;4;4;5;2;5;5;5;5;5;1;5;2
Alliance Sud;CH3;5;1;5;5;3;5;1;3;5;4;1;1;1;1;5;5;3;3;2;5;5;1;5;1
Alpiq AG;CH4;5;5;4;5;4;4;5;5;3;5;5;3;4;5;5;4;5;5;3;3;3;3;3;3
auto-schweiz;CH5;5;5;3;1;5;1;5;3;1;4;5;3;5;3;5;4;2;5;3;3;1;2;3;3
Avenergy - Verband Schweizer Treibstoffimporteure;CH6;4;5;2;1;5;2;4;2;1;5;4;2;2;2;2;2;4;2;2;2;1;2;1;4
Bauenschweiz - Dachverband der Schweizer Bauwirtschaft;CH7;5;5;5;4;5;5;4;4;2;4;4;4;;;;;4;5;4;4;;;3;
Bundesamt für Umwelt (Gruppe National);CH8;5;5;5;5;5;4;4;4;4;4;4;4;5;4;5;4;;;;;;;;
Economiesuisse - Wirtschaftsdachverband;CH9;5;5;4;3;5;2;5;2;1;5;5;3;5;4;4;4;4;5;3;3;4;4;2;5
Energie-Agentur der Wirtschaft;CH10;5;4;4;5;5;5;4;4;4;4;5;4;4;5;5;3;5;5;5;5;5;5;5;5
ETH Zürich;CH11;5;5;5;5;4;4;2;4;4;5;2;3;4;3;4;4;5;5;3;5;5;4;4;3
Freisinnige Demokratische Partei;CH12;4;5;4;2;4;2;5;2;2;5;5;4;4;4;5;2;4;4;3;2;2;4;2;5
Greenpeace Schweiz;CH13;5;2;5;5;4;4;4;4;4;5;3;3;2;2;5;5;1;5;5;5;5;2;5;2
Hauseigentümerverband Schweiz;CH14;5;5;5;3;4;4;4;5;3;4;5;5;4;4;5;2;3;5;5;4;2;4;1;4
Klimaallianz - Bündnis zivilgesellschaftlicher Organisationen für den Klimaschutz;CH15;5;3;5;5;3;5;3;5;5;4;1;3;3;3;5;4;5;5;5;5;4;4;5;3
Klimastreik Schweiz / Fridays for Future;CH16;5;1;5;4;1;4;1;4;5;4;1;5;2;5;5;5;5;4;5;4;5;5;4;2
Kommission für Umwelt, Raumplanung und Energie des Ständerates;CH17;5;5;5;5;4;5;4;5;5;5;2;5;4;5;5;4;5;5;5;5;4;3;4;5
Migros-Genossenschaft;CH18;5;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
