Organisation Name;Type;ACRONYM;Klarname_EN
Aerosuisse - Dachverband der Schweizerischen Luft- und Raumfahrt;Business;CH1;Aerosuisse
Agentur für erneuerbare Energien und Energieeffizienz;Business;CH2;Renewable Energy Agency
Alliance Sud;Civil society;CH3;Alliance Sud
Alpiq AG;Business;CH4;Alpiq AG
auto-schweiz;Business;CH5;Car Owner Association
Avenergy - Verband Schweizer Treibstoffimporteure;Business;CH6;Oil Association
Bauenschweiz - Dachverband der Schweizer Bauwirtschaft;Business;CH7;Construction Switzerland
Bundesamt für Umwelt (Gruppe National);Government;CH8;Federal Office for the Enviroment
Economiesuisse - Wirtschaftsdachverband;Business;CH9;Economiesuisse
Energie-Agentur der Wirtschaft;Business;CH10;Energy Agency of the Economy
ETH Zürich;Science;CH11;ETH Zurich
Freisinnige Demokratische Partei;Party;CH12;Liberal Party
Greenpeace Schweiz;Civil society;CH13;Greenpeace Switzerland
Hauseigentümerverband Schweiz;Business;CH14;Houseowner's Association
Klimaallianz - Bündnis zivilgesellschaftlicher Organisationen für den Klimaschutz;Civil society;CH15;Climate Alliance
Klimastreik Schweiz / Fridays for Future;Civil society;CH16;Climate Strike
Kommission für Umwelt, Raumplanung und Energie des Ständerates;Government;CH17;Environmental Commission Council of States
Migros-Genossenschaft;Business;CH18;Migros
ProClim-AkadWiss;Science;CH19;ProClim
SBB;Business;CH20;Federal Railway Company
Schweizer Bauernverband ;Business;CH21;Farmer's Association
Schweizerische Arbeitsgemeinschaft für die Berggebiete;Business;CH22;Alpine Working Group
Schweizerische Energie-Stiftung;Business;CH23;Swiss Energy Foundation
Schweizerischer Gewerbeverband;Business;CH24;Trade Association
Schweizerischer Gewerkschaftsbund;Business;CH25;Labour Union
Sozialdemokratische Partei;Party;CH26;Socialdemocratic Party
Staatssekretariat für Wirtschaft;Government;CH27;Economic Department
Stiftung Klik - Stiftung Klimaschutz und CO2 Kompensation;Business;CH28;Klik Foundation
Suissetec - Schweizerisch-Liechtensteiner Gebäudetechnikverband;Business;CH29;Suissetec (Buildings)
Swisscleantech – Verband für nachhaltige Wirtschaft;Business;CH30;Swisscleantech
Swissmem - Verband der Schweizer Maschinen-, Elektro- und Metallindustrie;Business;CH31;Swissmem (Industry)
Swissoil;Business;CH32;Swissoil
Travail Suisse - Dachorganisation der Schweizer Gewerkschaften;Civil society;CH33;Travailsuisse
Verband der Schweizerischen Cementindustrie;Business;CH34;Swisscem
Verein Klimaschutz Schweiz;Civil society;CH35;Climate Protection Association
Verkehrs-Club Schweiz;Civil society;CH36;Swiss Traffic Association
World Wide Fund For Nature Schweiz;Civil society;CH37;WWF Switzerland
Grünliberale Partei;Party;CH38;Greenliberal Party
Grüne Partei Schweiz;Party;CH39;Green Party Switzerland
Bundesamt für Energie;Government;CH40;Federal Office for the Enviroment
Komission für Umwelt Raumplanung und Energie des Nationalrates;Government;CH41;Environmental Commission National Council
Schwizerische Volkspartei;Party;CH42;Swiss People's Party
Die Mitte;Party;CH43;Die Mitte (Central Party)
Scienceindustries;Business;CH44;Scienceindustry
Schweizerische Bankiervereinigung;Business;CH45;Swiss Banker's Association
Stiftung für Konsumentenschutz;Civil society;CH46;Consumer Protection Foundation
Swissolar;Business;CH47;Swissolar
Verband der Schweizerischen Gasindustrie;Business;CH48;Swiss Gas Industry Association
Automobil Club der Schweiz;Business;CH49;Swiss Automobile Club
Schweizerischer Nutzfahrzeugverband;Business;CH50;Swiss Commercial Vehicle Association
Touring Club Schweiz;Business;CH51;Swiss Touring Club
Coop Schweiz;Business;CH52;Coop Switzerland
ECO SWISS;Business;CH53;Eco Swiss
Oeschger Center for Climate Change Research;Science;CH54;Oeschger Center for Climate Change Research
