Full name;Abbrev-en;Abbrev;Kategorie;ActorType;voluntaryMeasures;CO2Levy;Permits;ClimateCent
Federal Council;FC;BRAT;Executive Branch;Administration;no;no;no;no
Federal Department of the Environment, Transport, Energy and Communications;DETEC;UVEK;Executive Branch;Administration;support;support;oppose;oppose
Federal Office for the Environment;FOEN;BAFU;Executive Branch;Administration;oppose;support;support;oppose
Swiss Federal Office of Energy;SFOE;BFE;Executive Branch;Administration;oppose;support;support;oppose
Climate Cent Control Committee;CCC;KGK;Executive Branch;Administration;no;no;no;no
National Council;NC;NR;Legislative Branch;Legislative Branch;no;no;no;no
State Council;SC;SR;Legislative Branch;Legislative Branch;no;no;no;no
Environment, Spatial Planning and Energy Committees - National Council;ESPEC-N;UREK-N;Legislative Branch;Legislative Branch;no;no;no;no
Environment, Spatial Planning and Energy Committees - State Council;ESPEC-S;UREK-S;Legislative Branch;Legislative Branch;no;no;no;no
Civic Democratic Party;CVP;CVP;Parties;Parties;support;oppose;support;oppose
Cristian Social Party;CSP;CSP;Parties;Parties;oppose;support;support;oppose
Liberal Democratic Party;FDP;FDP;Parties;Parties;oppose;oppose;support;support
Green Party;GP;GP;Parties;Parties;support;support;oppose;oppose
Socialdemocratic Party;SP;SP;Parties;Parties;oppose;support;support;oppose
Swiss People´s Party;SVP;SVP;Parties;Parties;support;oppose;support;support
Federal Democratic Union;EDU;EDU;Parties;Parties;support;oppose;support;support
Evangelical People´s Party;EVP;EVP;Parties;Parties;oppose;support;support;oppose
Alliance for a Responsible Climate Policy;AFRCP;AFVKP;Private Sector;Citizen Group;oppose;support;oppose;oppose
cemsuisse;CEM;CEM;Private Sector;Private Sector;support;oppose;support;support
economiesuisse;ECON;ECON;Private Sector;Private Sector;oppose;oppose;support;support
Oil association;EV;EV;Private Sector;Private Sector;oppose;oppose;support;support
Road Traffic Organization;FRS;FRS;Private Sector;Private Sector;oppose;oppose;support;support
Swiss Houseowner Association;HEV;HEV;Private Sector;Private Sector;support;oppose;oppose;support
Association for ecological intergration for business management ;OEBU;OEBU;Private Sector;Citizen Group;oppose;support;oppose;oppose
Swiss Chamber of Commerce;SGV;SGV;Private Sector;Private Sector;support;oppose;support;support
Climate Cent Foundation;FCC;SKR;Private Sector;Private Sector;oppose;oppose;support;support
swissmem;SMEM;SMEM;Private Sector;Private Sector;support;oppose;support;support
German speaking Swis Tenant Association;DSMV;DSMV;Private Sector;Citizen Group;oppose;support;oppose;oppose
Swiss Real Estate Industry Association;SVIT;SVIT;Private Sector;Private Sector;no;no;no;no
Science;Science;Science;Private Sector;Science;support;support;oppose;oppose
Energy Agency of the Economy;EnAW;EnAW;Private Sector;Private Sector;support;oppose;support;oppose
Greenpeace Switzerland;GREEN;GREEN;Private Sector;Citizen Group;oppose;support;oppose;oppose
swisssolar;SOLAR;SOLAR;Private Sector;Private Sector;oppose;support;oppose;oppose
Velo Club Schweiz;VCS;VCS;Private Sector;Citizen Group;oppose;support;oppose;oppose
World Wildlife Foundation Switzerland;WWF;WWF;Private Sector;Citizen Group;oppose;support;oppose;oppose
