"";"id";"value";"color";"type";"alias";"notes";"frequency"
"1";65;"Agroscope";"#000000";"AGRO";"Science";"";1
"2";18;"Alliance Sud";"#000000";"ASUD";"Civil Society";"";2
"3";40;"Auto-Suisse";"#000000";"AUTO";"Business";"";5
"4";283;"Bourgeois Democratic Party (BDP)";"#000000";"BPD";"Political party";"";2
"5";150;"Cantonal government";"#000000";"CAN";"Government";"";10
"6";170;"Car importer";"#000000";"CAR";"Business";"";3
"7";70;"Centre Patronal";"#000000";"PATRONAL";"Business";"";1
"8";144;"Christian People's Party (CVP)";"#000000";"CVP";"Political party";"";14
"9";119;"Chruch";"#000000";"CHURCH";"Civil Society";"";9
"10";84;"Climat Cent Foundation";"#000000";"CCF";"Business";"";1
"11";22;"Climate Alliance";"#000000";"CLA";"Civil Society";"";3
"12";260;"Consulting agency";"#000000";"CONSUL";"Business";"";3
"13";224;"Corporation, domestic";"#000000";"CORP";"Business";"";4
"14";272;"ETH Lausanne";"#000000";"EPFL";"Science";"";3
"15";55;"ETH Zurich";"#000000";"ETHZ";"Science";"";16
"16";25;"Economiesuisse";"#000000";"ECON";"Business";"";33
"17";98;"Energy industry, domestic";"#000000";"ENE-DOM";"Business";"";7
"18";62;"Environmental commission, National council";"#000000";"ESPEC-NC";"Government";"";5
"19";215;"FDP. The Liberals";"#000000";"FDP";"Political party";"";21
"20";121;"Federal Council";"#000000";"FC";"Government";"";53
"21";10;"Federal Office for the Environment (FOEN)";"#000000";"FOEN";"Government";"";9
"22";216;"Federal parliament";"#000000";"PARL";"Government";"";11
"23";52;"Global Humanitarian Forum";"#000000";"GHF";"IGO";"";1
"24";222;"Green Liberal Party";"#000000";"GPS";"Political party";"";9
"25";49;"Green Party Switzerland";"#000000";"GLP";"Political party";"";25
"26";92;"Greenpeace Switzerland ";"#000000";"GREEN";"Civil Society";"";1
"27";225;"Insurances/ Pension Funds";"#000000";"FINANCE";"Business";"";1
"28";180;"Intergovernmental Panel on Climate Change";"#000000";"IPCC";"Science";"";3
"29";213;"NGO, domestic";"#000000";"NGO";"Civil Society";"";6
"30";34;"National council";"#000000";"NC";"Government";"";6
"31";38;"Oeschger Center for Climate Change Research";"#000000";"OCCR";"Science";"";10
"32";280;"Oil Association";"#000000";"OIL";"Business";"";2
"33";106;"Relief organization, domestic";"#000000";"REL-DOM";"Civil Society";"";3
"34";137;"Social-Democratic Party";"#000000";"SPS";"Political party";"";21
"35";77;"Swiss Agency for Development and Cooperation";"#000000";"DEZA";"Government";"";1
"36";238;"Swiss Energy Foundation";"#000000";"SES";"Government";"";2
"37";23;"Swiss Federal Department for the Economy";"#000000";"SECO";"Business";"";2
"38";172;"Swiss Federal Office of Energy";"#000000";"SFOE";"Government";"";2
"39";154;"Swiss People's Party";"#000000";"SPP";"Political party";"";12
"40";279;"Swiss Trade Association";"#000000";"GVS";"Business";"";3
"41";287;"Swiss academies of arts and sciences";"#000000";"ACADEMY";"Science";"";1
"42";86;"Swisscleantech";"#000000";"CLEANTECH";"Business";"";9
"43";58;"Touring Club Switzerland";"#000000";"TCS";"Business";"";1
"44";37;"University Lausanne";"#000000";"UNIL";"Science";"";1
"45";168;"Verkehrs-Club-Schweiz";"#000000";"VCS";"Civil Society";"";1
"46";32;"WWF Switzerland";"#000000";"WWF";"Civil Society";"";18
"47";44;"World Business Council for Sustainable Development";"#000000";"WBCSD";"IGO";"";2
"48";74;"World Trade Institute";"#000000";"WTI";"Science";"";1
