"";"id";"value";"color";"type";"alias";"notes";"frequency"
"1";7;"2 degrees ";"#000000";"Belief";"";"";5
"2";21;"20% reduction (national target)";"#000000";"Instrument";"";"";48
"3";231;"2000-Watt-Society";"#000000";"Instrument";"";"";8
"4";148;"80% reduction by 2050";"#000000";"Instrument";"";"";2
"5";127;"Binding national emission reduction targets needed";"#000000";"Belief";"";"";2
"6";11;"CC action politically feasible";"#000000";"Belief";"";"";13
"7";270;"CC as a moral issue";"#000000";"Belief";"";"";2
"8";53;"CC as a threat to agriculture";"#000000";"Belief";"";"";1
"9";8;"CC as business opportunity";"#000000";"Belief";"";"";14
"10";56;"CC as threat to the domestic economy";"#000000";"Belief";"";"";1
"11";78;"CC is (also) a development issue";"#000000";"Belief";"";"";6
"12";72;"CC is real and anthropogenic";"#000000";"Belief";"";"";4
"13";155;"CC regulation as threat to economy";"#000000";"Belief";"";"";14
"14";5;"CO2 tax on fuels";"#000000";"Instrument";"";"";11
"15";83;"Climate sience (IPCC) credible";"#000000";"Belief";"";"";10
"16";88;"Companies important for climate protection ";"#000000";"Belief";"";"";1
"17";207;"Coordination with EU CC regime";"#000000";"Instrument";"";"";16
"18";105;"Drastic reduction in energy consumption needed ";"#000000";"Belief";"";"";17
"19";261;"Electrification of private cars";"#000000";"Instrument";"";"";2
"20";300;"Emission standards traffic sector";"#000000";"Instrument";"";"";34
"21";174;"Energy tax";"#000000";"Instrument";"";"";3
"22";131;"Federal climate protection measures sufficient";"#000000";"Belief";"";"";15
"23";15;"Financial transfer to developing countries";"#000000";"Belief";"";"";3
"24";186;"Flexible carbon offsetting abroad";"#000000";"Instrument";"";"";20
"25";188;"Full CO2 compensation obligation for new gas-fired power plants";"#000000";"Instrument";"";"";8
"26";6;"High quality certificates";"#000000";"Instrument";"";"";1
"27";14;"Historical responsiblity of industrialized countries to act";"#000000";"Belief";"";"";1
"28";76;"Individual responsibility";"#000000";"Belief";"";"";2
"29";288;"International carbon tax";"#000000";"Instrument";"";"";9
"30";30;"International coordination ";"#000000";"Belief";"";"";1
"31";50;"Lack of CC information/knowledge  ";"#000000";"Belief";"";"";6
"32";161;"Link to EU ETS";"#000000";"Instrument";"";"";1
"33";89;"Market-based solutions/instruments instead of regulation";"#000000";"Instrument";"";"";1
"34";16;"Naming and shaming tactic";"#000000";"Instrument";"";"";2
"35";81;"Offroader Initiative";"#000000";"Instrument";"";"";8
"36";200;"Promotion of CCS technologies";"#000000";"Belief";"";"";2
"37";46;"Promotion of Clean Technologies";"#000000";"Instrument";"";"";1
"38";230;"Promotion of alternative energies";"#000000";"Belief";"";"";6
"39";203;"Promotion of biofuels as alternative energy";"#000000";"Belief";"";"";2
"40";47;"Promotion of energy efficiency";"#000000";"Belief";"";"";5
"41";4;"Promotion of fossil energy  ";"#000000";"Belief";"";"";1
"42";164;"Promotion of nuclear power";"#000000";"Belief";"";"";5
"43";79;"Promotion of technical solutions";"#000000";"Belief";"";"";3
"44";146;"Reduction of other GHGs";"#000000";"Instrument";"";"";3
"45";133;"Revision of the CO2 Act";"#000000";"Instrument";"";"";13
"46";27;"Strict emission standards traffic sector";"#000000";"Instrument";"";"";3
"47";26;"Subsidies";"#000000";"Instrument";"";"";1
"48";63;"Switzerland particularly vulnerable to CC";"#000000";"Belief";"";"";4
"49";223;"Switzerland responsible for small % emissions";"#000000";"Belief";"";"";1
"50";87;"Switzerland should take leading role";"#000000";"Belief";"";"";7
"51";33;"Technology transfer to developing countries";"#000000";"Instrument";"";"";1
"52";124;"US Leadership";"#000000";"Belief";"";"";1
"53";67;"Urge for immediate action (no wait-and-see strategy)";"#000000";"Belief";"";"";6
"54";183;"Voluntary instruments";"#000000";"Instrument";"";"";2
