"";"id";"value";"color";"type";"alias";"notes";"frequency"
"1";218;"2000-Watt-Society";"#000000";"proenv";"";"";1
"2";386;"A strong, binding international agreement is necessary";"#000000";"proecon";"";"";1
"3";22;"Abolition/ reduction of climate measures due to covid crisis";"#000000";"covid";"";"";4
"4";158;"Activism is a legitimate way to tackle CC";"#000000";"proenv";"";"";84
"5";394;"Air ticket levy";"#000000";"proenv";"";"";57
"6";626;"Ban on fossil fuels needed";"#000000";"proenv";"";"";4
"7";160;"CC action politically feasible";"#000000";"proenv";"";"";12
"8";600;"CC as risk";"#000000";"proenv";"";"";39
"9";565;"CC is currently occurring and its impacts are visible";"#000000";"proenv";"";"";37
"10";165;"CC is one of biggest challenges of humanity";"#000000";"proenv";"";"";7
"11";157;"CC mitigation should not endanger economic competitiveness";"#000000";"proecon";"";"";15
"12";187;"CCS technology";"#000000";"proecon";"";"";4
"13";229;"CO2 tax";"#000000";"";"";"";27
"14";341;"Capitalism puts CC mitigation at risk";"#000000";"";"";"";4
"15";346;"Central banks should play an active role in climate protection";"#000000";"";"";"";11
"16";177;"Clean Development Mechanism";"#000000";"";"";"";5
"17";135;"Climate Cent valuable contribution to reduce emissions";"#000000";"";"";"";15
"18";154;"Climate action creates jobs and opportunities for economic growth";"#000000";"";"";"";31
"19";166;"Climate awareness is low";"#000000";"";"";"";5
"20";219;"Climate neutrality";"#000000";"";"";"";40
"21";146;"Climate research is important for promoting actions";"#000000";"";"";"";10
"22";194;"Coal phase-out";"#000000";"";"";"";6
"23";153;"Companies are important for climate protection";"#000000";"";"";"";39
"24";231;"Compensation of fuel imports";"#000000";"";"";"";1
"25";208;"Coordination with EU CC regime";"#000000";"";"";"";5
"26";586;"Covid crisis presents opportunity for CC action";"#000000";"";"";"";34
"27";522;"Current US Administration is a development for climate protection";"#000000";"";"";"";5
"28";172;"Developed countries should bare the main responsibility in GHG reductions";"#000000";"";"";"";2
"29";212;"Divest from fossil fuels";"#000000";"";"";"";21
"30";184;"Domestic climate action first";"#000000";"";"";"";23
"31";169;"Each country should be able to decide own reduction target (principle of self-determination)";"#000000";"";"";"";1
"32";233;"Earmarking of CO2 levy";"#000000";"";"";"";2
"33";238;"Emission trading";"#000000";"";"";"";5
"34";220;"Energy law or strategy ";"#000000";"";"";"";6
"35";193;"Energy supply can be secured exclusively by renewable energies";"#000000";"";"";"";9
"36";181;"Expanding or sustaining nuclear energy";"#000000";"";"";"";6
"37";189;"Expansion of renewable energy";"#000000";"";"";"";33
"38";180;"Financial and technology transfer to developing countries";"#000000";"";"";"";3
"39";534;"Financial sector is not aligned with the goals of the Paris Agreement";"#000000";"";"";"";14
"40";455;"Gletscherinitiative";"#000000";"";"";"";13
"41";210;"Great(est) potential for GHG reductions/energy savings in the building sector";"#000000";"";"";"";14
"42";536;"Greater transparency of banks' climate-intensive investments needed";"#000000";"";"";"";6
"43";364;"Green New Deal";"#000000";"";"";"";1
"44";213;"Green investments";"#000000";"";"";"";34
